gender,age,language,country,sampling,baserate,turkcode,id,R1,R2,R3,R4,R5,R6,R7
female,42,english,USA,property,large,401591,1,8,8,8,7,4,4,6
female,50,english,USA,property,small,966617,2,10,10,8,7,1,1,1
female,26,English,USA,property,large,573759,3,9,9,4,4,3,2,2
female,42,English,USA,category,small,674497,4,9,9,9,9,8,8,8
male,35,english,USA,category,large,277923,5,9,10,10,10,6,7,4
female,26,English,USA,property,small,581144,6,10,9,5,7,1,1,2
female,35,English ,USA,category,small,444158,7,3,8,7,6,9,1,1
female,35,English,USA,category,small,359903,8,2,2,5,10,10,7,10
male,33,English,USA,property,small,501390,9,5,8,8,2,3,2,1
male,38,English,USA,category,large,163084,10,10,10,7,7,6,6,4
female,50,English,USA,category,large,657542,11,10,10,7,7,7,7,5
male,36,English,USA,property,large,915958,12,2,7,5,8,8,8,9
male,40,English,USA,category,small,458183,13,9,9,9,9,9,9,9
male,36,Tamil,India,property,small,521470,14,4,2,4,10,6,6,10
male,29,english,USA,property,large,239056,15,9,9,9,7,3,2,2
male,27,English,USA,category,large,370004,16,9,9,9,3,2,1,1
male,28,English,USA,category,large,602497,17,9,9,9,8,4,3,3
female,27,English,USA,category,large,173875,18,10,10,10,9,8,9,10
female,54,English,USA,category,large,452681,19,8,10,10,10,10,10,10
male,27,TAMIL,India,property,small,643759,20,1,2,5,4,6,8,10
male,38,English,USA,category,small,491318,21,9,9,9,5,5,5,5
female,41,English,USA,category,small,175425,22,8,9,6,3,4,3,2
male,74,english,USA,property,small,618275,23,7,7,3,6,3,3,2
male,33,English,USA,property,small,943878,24,6,10,8,9,9,10,10
female,40,english,USA,category,large,880522,25,10,10,10,2,1,1,1
male,32,tamil,India,category,large,250153,26,1,4,4,8,9,10,10
male,24,ENGLISH,USA,category,large,160172,27,4,8,6,7,1,1,3
female,32,English,USA,property,large,468554,28,5,5,5,2,2,2,2
female,38,English,USA,property,small,564485,29,3,3,3,3,3,1,1
male,31,English,USA,category,large,284531,30,10,9,9,7,7,5,3
male,32,English,USA,category,large,688168,31,8,7,7,3,5,2,3
male,35,English,USA,category,large,268928,32,10,9,9,4,3,3,3
female,53,English,USA,category,large,927292,33,10,10,10,10,10,9,9
female,35,English,USA,category,large,962081,34,10,10,7,6,4,4,4
male,32,English,USA,category,small,726122,35,7,8,8,4,5,5,5
male,25,english,USA,category,small,591019,36,9,8,8,4,6,4,9
male,33,english,USA,category,small,218573,37,9,8,6,4,2,2,1
female,31,English,USA,property,large,705153,38,10,10,10,5,1,1,1
male,34,english,USA,property,large,330154,39,1,1,9,6,6,6,1
female,43,English,USA,property,large,357980,40,10,10,10,7,2,5,1
male,33,english,USA,property,large,651151,41,9,8,6,4,2,2,1
female,36,English,USA,property,small,814629,42,9,8,8,8,3,3,3
male,32,English,USA,category,large,217379,43,5,10,10,10,10,5,5
female,29,English,USA,category,large,671944,44,9,8,8,7,7,7,7
male,36,English,USA,property,small,450690,45,9,9,2,1,1,1,1
female,37,Indonesian,USA,property,large,447373,46,6,8,7,5,7,5,5
male,27,English,USA,category,small,180664,47,7,9,8,9,9,9,8
male,29,english,USA,category,small,301959,48,3,3,6,8,7,7,5
male,25,English,USA,property,small,496933,49,6,8,6,7,6,7,7
male,32,English,USA,category,small,860208,50,9,9,7,5,5,5,5
female,57,English,USA,property,large,746248,51,3,10,10,10,4,1,1
female,19,English,USA,property,large,130056,52,10,7,6,2,1,2,1
male,29,English,USA,property,small,247298,53,9,9,10,10,3,3,3
male,30,english,USA,property,large,573298,54,10,10,10,10,10,10,10
female,24,english,USA,category,large,834997,55,10,10,5,1,1,1,1
male,50,english,USA,property,small,824216,56,9,8,9,8,6,6,5
male,29,english,USA,category,large,105705,57,10,10,10,10,10,10,10
female,38,English,USA,category,small,599900,58,10,10,10,10,10,10,10
male,36,English,USA,category,large,997038,59,10,10,8,7,7,7,7
male,48,American English,USA,property,small,720260,60,10,10,10,2,2,2,1
male,64,English,USA,category,small,433175,61,9,9,9,8,8,7,8
female,50,English,USA,category,large,341420,62,10,10,8,8,6,5,4
male,42,English,Canada,category,large,223126,63,10,9,3,2,1,1,1
male,27,English.,USA,category,large,533547,64,4,4,6,6,8,9,10
female,24,English,USA,property,small,918475,65,3,8,8,2,6,4,6
female,28,Chinese,USA,category,small,735690,66,7,9,5,5,5,5,5
female,30,English,USA,category,small,981041,67,10,4,1,2,1,1,1
male,34,English,USA,category,small,636381,68,9,9,9,5,6,9,6
female,33,English,USA,property,large,795930,69,5,5,5,5,5,5,5
female,59,English,USA,property,large,769309,70,9,8,2,2,1,1,1
female,24,English,USA,property,large,421770,71,2,7,7,8,4,7,9
female,41,english,USA,property,small,987836,72,10,10,10,1,1,1,1
male,28,English,USA,category,large,174772,73,10,10,10,6,3,3,3
male,39,English,USA,property,large,278823,74,9,8,9,6,5,3,3
male,72,English,USA,category,large,877465,75,10,10,8,3,3,3,3
male,34,English,USA,category,large,645072,76,10,9,8,3,3,3,1
male,48,English,USA,property,large,197198,77,6,5,3,2,2,2,1
male,31,English,USA,category,small,790987,78,10,7,7,5,3,2,1
male,41,English,USA,category,small,101337,79,10,10,10,10,6,5,5
male,32,English,India,category,large,853811,80,10,10,8,7,5,3,5
female,71,English,USA,property,small,613657,81,8,9,9,8,6,6,1
male,51,English,USA,category,small,861992,82,9,9,8,6,6,6,6
female,43,English,USA,property,large,219167,83,5,7,5,4,3,2,1
male,24,English,USA,property,large,342861,84,1,6,6,6,7,10,10
female,27,English,USA,category,large,817265,85,10,10,10,10,10,10,8
female,34,English,USA,category,small,542869,86,10,10,10,10,10,10,10
male,23,English,USA,category,small,129896,87,10,10,10,10,10,10,5
female,26,English,USA,category,small,494845,88,5,9,9,9,9,9,9
female,21,English,USA,category,large,748043,89,9,9,9,10,10,10,8
female,34,english,USA,property,large,947165,90,10,10,8,6,1,1,1
male,35,American English,USA,category,small,127837,91,8,7,3,3,3,3,3
male,33,English,USA,category,small,471677,92,10,10,10,10,10,10,9
female,22,English,USA,category,small,846620,93,10,10,10,10,9,10,9
female,33,english,USA,category,large,682726,94,8,8,6,5,6,6,5
male,27,English,USA,property,large,388378,95,5,5,6,6,6,6,6
male,53,English,USA,property,large,375253,96,6,6,6,6,6,6,6
female,22,English,USA,property,small,409368,97,8,8,7,7,7,6,6
male,30,english,USA,property,small,145587,98,6,2,2,3,4,5,7
male,26,English,USA,property,small,226148,99,3,7,8,9,8,6,5
male,40,English,United Kingdom,category,large,125053,100,10,10,9,6,6,4,6
male,41,English,USA,category,small,633462,101,10,10,10,10,10,10,10
male,33,English,USA,category,small,398283,102,10,9,9,9,8,7,7
male,21,English,USA,category,small,919551,103,9,10,9,9,6,6,5
male,30,english,USA,category,large,704076,104,7,9,8,8,8,7,8
female,27,English,USA,category,large,392719,105,9,9,9,9,5,5,5
male,24,English,USA,category,large,270865,106,9,9,9,8,4,9,2
male,25,English,USA,category,large,210356,107,10,10,10,10,8,7,7
female,50,English,USA,property,small,661197,108,8,7,8,8,8,1,1
male,41,English,USA,property,large,349088,109,3,3,3,3,3,3,3
male,34,English,USA,category,small,105383,110,9,9,9,9,9,9,9
male,57,English,USA,property,large,644670,111,9,8,6,5,3,2,3
male,25,"English, Hindi",India,property,small,713812,112,7,8,7,6,4,2,1
male,40,english,USA,property,large,757707,113,3,7,6,7,9,8,9
male,48,english,USA,category,large,341274,114,10,10,5,6,5,5,5
male,28,English,USA,property,large,413146,115,7,7,6,4,4,4,2
female,63,English,USA,category,small,133258,116,10,10,10,10,9,9,9
female,27,English,USA,category,large,842889,117,10,9,3,5,2,2,1
female,33,english,USA,category,large,572480,118,10,10,7,7,7,5,5
male,34,English,USA,property,small,785006,119,8,8,8,2,2,2,2
female,28,english,USA,property,large,394326,120,7,8,8,5,4,2,1
male,38,English,USA,property,large,656351,121,10,5,5,4,4,3,4
female,33,english,USA,property,large,170203,122,3,6,6,6,6,6,6
male,56,English,USA,category,small,311178,123,9,9,9,9,9,5,5
male,28,English,USA,property,large,561630,124,6,7,7,8,8,9,9
female,29,english,USA,category,small,743552,125,10,10,10,10,10,10,9
female,25,english,USA,property,large,886270,126,7,5,9,9,2,3,1
male,31,english,USA,property,large,453420,127,9,9,5,4,3,3,2
male,29,English ,USA,category,small,353726,128,10,10,10,8,8,8,8
male,33,English,USA,category,large,283267,129,8,4,4,6,8,10,10
female,52,English,USA,property,large,176114,130,9,9,9,1,1,1,1
male,37,english,USA,category,large,175676,131,10,10,10,10,10,10,10
female,27,english,USA,category,large,965628,132,10,10,9,8,8,8,7
male,55,English,USA,property,small,910931,133,8,10,10,7,3,1,1
female,42,English,USA,category,large,936788,134,10,10,10,1,1,1,1
female,24,English,USA,property,large,128494,135,8,9,8,3,7,3,3
female,43,English,USA,category,large,971614,136,10,9,8,9,3,3,10
female,35,english,USA,category,large,233554,137,9,5,2,1,1,1,1
female,64,English,USA,category,small,988450,138,10,10,10,10,10,9,8
male,40,English,USA,property,large,346148,139,8,8,4,3,2,2,2
male,27,english,USA,property,large,121542,140,1,5,7,7,9,10,10
female,25,english,USA,category,large,431708,141,10,9,10,10,10,10,10
female,43,english,USA,category,small,980390,142,9,10,10,9,6,6,6
female,39,english,USA,category,large,670154,143,10,10,5,5,7,3,3
female,30,English,USA,category,large,956882,144,8,7,7,6,2,4,1
female,33,English,USA,category,large,830744,145,8,8,8,6,4,5,5
male,28,ENGLISH,India,property,large,591020,146,1,1,5,2,3,4,9
male,27,English,USA,property,small,145477,147,3,4,5,6,8,7,9
female,39,English,USA,category,small,161531,148,7,10,7,9,7,3,2
male,30,english,USA,category,large,732642,149,10,10,9,10,7,5,5
male,66,english,USA,category,large,931191,150,10,10,10,10,7,3,8
male,42,English,USA,property,small,171194,151,9,10,10,2,1,1,1
female,57,English,USA,property,large,713901,152,9,9,8,3,1,1,1
male,28,english,USA,property,large,471838,153,8,9,5,2,1,1,1
male,28,English,USA,property,large,761316,154,8,5,3,3,5,3,3
female,25,"English, Spanish",USA,property,small,480496,155,10,8,2,1,1,1,1
male,29,English,USA,property,small,737508,156,8,8,8,8,5,5,5
male,51,English,USA,property,large,679155,157,10,10,8,7,5,4,4
female,25,English,USA,property,small,100132,158,7,6,5,2,2,1,1
male,39,English,USA,property,small,441984,159,8,4,5,5,2,7,3
female,29,English,USA,property,large,922093,160,2,5,7,5,3,5,1
male,28,English,USA,category,small,817516,161,8,8,8,8,8,8,8
male,42,english,USA,property,large,681838,162,7,3,5,6,1,1,1
female,63,English,USA,category,large,949227,163,10,9,7,5,3,1,1
male,30,English,USA,category,large,935318,164,10,9,4,4,3,3,3
male,41,English,USA,property,small,565027,165,7,8,8,2,2,2,2
male,51,English,USA,category,large,664372,166,6,9,9,7,9,9,10
male,33,English,USA,category,large,457054,167,10,10,4,3,3,3,3
male,32,english,USA,property,small,907489,168,3,3,3,3,1,1,1
female,23,English,USA,category,small,511946,169,8,8,8,8,8,10,8
male,60,English,USA,property,small,818558,170,8,8,8,8,8,8,8
male,49,English,USA,property,large,828740,171,10,9,1,1,1,1,1
female,18,english,Jamaica,property,large,810761,172,10,9,5,2,3,2,2
male,41,English,USA,property,small,817677,173,4,4,4,1,1,1,1
female,44,Russian,USA,property,small,936209,174,9,10,9,7,7,2,1
male,24,English,USA,property,large,254113,175,10,10,9,9,5,10,8
male,61,English,USA,category,small,540128,176,9,9,9,9,5,3,4
male,37,english,USA,category,large,422898,177,9,9,8,7,5,5,3
female,4,english,USA,category,small,733742,178,9,9,9,8,7,7,7
male,25,English,USA,property,large,566933,179,7,7,5,4,3,2,1
male,24,ENGLISH,India,property,large,447260,180,2,2,3,5,6,9,10
female,37,Hindi,India,category,small,183715,181,10,10,10,10,10,10,10
male,29,English,USA,property,small,830305,182,1,1,5,5,10,10,10
female,27,english,USA,category,small,676132,183,10,10,10,10,1,1,1
female,37,English,USA,property,large,641815,184,8,10,3,5,1,1,1
male,27,Englsih,USA,category,large,481014,185,10,1,10,1,1,1,1
male,34,English,USA,property,small,858926,186,10,8,3,3,2,2,1
female,33,English,USA,category,large,352756,187,10,10,10,6,5,4,4
male,36,english,USA,property,small,985520,188,8,7,6,2,3,2,2
female,30,english,USA,property,large,995579,189,10,9,9,7,5,2,2
male,36,English,USA,property,small,862151,190,4,4,5,6,10,10,10
female,30,english,USA,category,large,320194,191,1,5,4,6,4,8,6
female,50,English,USA,category,small,952859,192,8,8,5,5,5,5,4
female,38,English,USA,property,large,957783,193,5,5,5,5,3,3,3
female,33,tamil,India,category,large,574779,194,9,8,7,8,9,9,7
female,43,englih,USA,category,small,553359,195,10,7,7,5,3,3,2
male,66,English,USA,property,small,827369,196,8,8,8,3,3,2,1
male,22,English,USA,property,large,279843,197,8,8,8,7,6,5,5
female,26,english,USA,category,large,823846,198,10,10,3,6,1,1,1
female,42,English,USA,category,large,821793,199,10,10,10,8,8,8,7
female,53,English,USA,category,large,288235,200,10,10,10,10,10,8,8
male,40,English,USA,category,small,351759,201,10,10,9,8,8,8,7
female,31,Eng,USA,category,small,241677,202,9,9,9,8,8,8,8
male,70,english,USA,category,large,614512,203,9,8,6,6,5,3,1
male,26,TAMIL,India,category,small,168470,204,8,8,7,6,6,5,4
male,24,English,USA,property,small,998207,205,8,8,8,7,5,5,5
female,45,English,USA,property,large,775935,206,10,9,9,4,4,1,1
female,37,English,USA,category,small,806415,207,10,10,10,1,1,1,1
male,32,english,USA,category,large,858721,208,9,9,6,6,5,3,2
male,34,English,USA,property,large,101450,209,3,4,4,8,9,9,9
female,45,english,USA,property,large,513774,210,8,10,9,6,3,2,1
female,27,English,USA,property,small,708941,211,8,9,8,8,5,5,6
female,34,English,USA,category,large,960055,212,9,9,7,5,5,5,5
male,33,ENGLISH,USA,property,large,440499,213,4,9,8,8,9,10,8
female,65,English,USA,property,small,741892,214,3,8,8,8,1,1,1
male,21,english,USA,category,small,821664,215,10,10,9,9,6,9,10
female,32,English,USA,category,small,668731,216,9,8,7,6,3,2,2
female,24,English,India,category,small,151775,217,10,10,5,4,4,1,1
male,20,English,USA,property,small,545420,218,1,5,10,8,7,6,2
male,37,English,USA,category,large,973695,219,8,8,8,7,8,4,3
male,25,english,USA,category,small,951791,220,10,6,6,8,6,7,5
male,31,english,USA,property,small,132926,221,8,8,7,7,5,1,2
male,36,English,USA,category,large,688157,222,9,9,8,7,7,7,7
female,28,ENGLISH,India,property,small,283706,223,4,5,7,8,4,10,10
male,25,English,USA,category,large,741144,224,10,10,7,10,9,2,1
female,42,English,USA,property,large,122055,225,9,9,9,2,1,1,1
male,29,English,USA,category,small,553083,226,10,10,10,10,10,10,10
male,45,English,USA,category,small,293301,227,9,9,9,5,5,4,5
female,38,English,USA,property,large,289976,228,10,9,9,1,6,3,1
female,32,english,USA,category,small,638369,229,10,10,10,10,10,10,10
male,56,english,USA,category,large,488331,230,10,9,9,8,7,8,7
female,54,English,USA,property,small,260556,231,9,9,9,9,1,1,1
male,34,English,USA,category,small,270562,232,10,10,10,10,10,9,9
male,57,English,USA,category,large,847133,233,10,10,3,2,3,1,1
male,38,English,USA,category,small,959647,234,10,10,10,5,5,5,5
female,32,ENGLISH,USA,property,small,421001,235,10,10,6,7,1,1,1
female,24,English,USA,category,large,225753,236,10,10,6,7,1,1,1
male,24,English,USA,property,large,283464,237,5,8,7,3,2,1,1
female,26,English ,USA,category,small,925280,238,10,10,5,1,10,1,1
male,34,Spanish,Venezuela,category,small,851005,239,10,8,7,2,2,1,1
male,37,English,USA,property,small,353630,240,7,6,7,6,5,5,3
male,32,english,USA,property,large,410296,241,10,9,5,8,6,2,2
male,31,English,USA,category,large,378002,242,8,10,9,4,3,2,1
male,30,TAMIL,India,category,small,966005,243,1,2,4,5,6,9,10
male,52,english,USA,property,small,674089,244,2,4,8,7,8,8,8
female,45,english,USA,property,small,706973,245,3,8,8,7,8,4,6
male,31,english,USA,property,small,202947,246,10,9,8,7,1,1,1
male,26,English,USA,property,small,100410,247,8,8,8,8,1,1,1
female,59,ENGLISH,USA,category,small,768112,248,10,10,9,8,1,1,4
male,33,English,India,property,small,892815,249,6,9,9,9,10,10,10
female,35,English,USA,property,large,455782,250,10,10,8,5,4,1,1
male,29,English,India,category,small,280863,251,7,8,9,8,9,7,10
female,38,English,USA,property,small,627900,252,10,10,10,1,1,1,1
male,54,English,USA,category,small,853544,253,10,10,10,9,8,8,8
female,54,English,USA,category,small,882822,254,10,10,10,10,8,5,5
female,52,English,USA,category,small,377997,255,10,9,7,6,5,2,2
male,41,english,USA,property,large,163064,256,2,8,6,6,9,9,8
male,30,engl;ish,USA,category,small,326164,257,1,2,2,4,4,5,7
male,29,English,USA,category,small,618953,258,10,10,10,10,10,10,10
male,64,English,United Kingdom,property,small,254639,259,8,7,6,2,2,2,2
female,46,ENGLISH,USA,category,large,283648,260,10,9,9,10,7,7,6
female,62,English,USA,property,small,243370,261,10,10,10,6,1,1,1
female,54,English ,USA,property,small,353876,262,1,1,1,5,10,10,10
female,25,English ,USA,property,large,118255,263,9,8,1,1,1,1,1
male,33,english,USA,property,large,944938,264,8,8,4,3,2,1,1
male,45,English,USA,category,small,734570,265,5,5,5,5,5,5,5
male,40,english,USA,property,large,429803,266,10,8,3,3,1,1,1
male,33,English,USA,property,small,783093,267,7,9,8,5,2,2,1
female,40,english,USA,category,small,699873,268,10,10,8,10,5,1,1
male,29,english,USA,property,small,933536,269,7,5,6,2,2,4,1
male,34,English,USA,category,large,469738,270,10,10,10,10,9,9,9
female,30,english,USA,property,large,507199,271,2,4,3,5,7,8,10
male,38,English,USA,property,large,880953,272,8,8,7,8,6,7,6
male,24,english,USA,property,small,983317,273,1,5,9,9,8,9,7
male,59,English,USA,category,large,503081,274,10,10,5,5,5,5,5
male,34,english,USA,category,large,174612,275,10,10,10,9,1,1,1
female,34,English,USA,property,small,928837,276,5,6,5,6,6,5,5
male,23,ENGLISH,India,category,large,648775,277,1,2,2,3,3,3,8
male,26,english,USA,property,small,804924,278,10,10,8,8,5,4,1
male,42,English,USA,property,large,401518,279,2,6,9,10,10,9,10
male,46,English,USA,property,large,773596,280,8,8,5,3,3,4,1
female,31,english,USA,property,large,731978,281,10,10,10,10,10,10,10
female,55,English,USA,property,small,985308,282,4,4,4,4,4,4,4
male,22,English,Canada,category,large,978618,283,10,10,7,5,4,10,10
male,31,English,USA,property,small,503448,284,9,8,6,5,3,2,3
male,26,english ,USA,property,small,711069,285,9,9,5,9,9,9,9
male,25,english,USA,property,large,400619,286,5,5,5,6,6,7,7
male,22,english,USA,property,small,637474,287,4,8,8,8,7,6,6
male,20,English,USA,property,large,752256,288,6,8,3,2,1,3,2
male,42,english,USA,property,small,760856,289,5,8,4,3,1,2,1
male,23,"English, Filipino",USA,property,large,446749,290,9,9,3,3,2,1,2
female,30,English,USA,category,large,236055,291,10,10,10,5,5,5,5
female,59,American English,USA,category,large,613913,292,10,10,10,7,8,8,8
male,35,English,USA,category,large,651619,293,8,6,6,6,6,6,6
male,49,English,USA,category,small,943380,294,9,9,9,9,7,7,7
male,43,English,USA,property,large,781713,295,9,9,7,6,5,1,1
male,29,english,USA,category,large,205221,296,10,10,10,7,7,7,7
female,35,English,USA,category,small,876936,297,8,8,8,8,8,8,6
male,32,English,USA,property,small,245187,298,7,8,9,9,10,10,9
male,58,English,USA,category,large,378008,299,9,9,9,9,9,9,9
male,31,enlgish,USA,property,large,878020,300,10,8,9,8,3,2,2
male,26,english,USA,category,large,265543,301,5,8,5,7,8,9,10
male,26,English,USA,property,small,466892,302,5,4,6,5,5,8,8
female,38,English,USA,category,large,916689,303,9,9,9,9,2,2,2
male,43,english,USA,category,small,264853,304,10,10,10,3,5,3,3
male,26,English,India,property,large,184401,305,10,8,3,1,1,1,1
male,62,English,USA,category,small,967997,306,10,10,10,10,5,7,7
female,22,english,USA,category,large,970919,307,10,4,3,1,1,1,1
female,54,english,USA,property,small,114165,308,7,7,7,7,7,7,7
male,31,English,USA,property,small,973592,309,7,7,4,1,2,1,1
female,34,English,USA,property,small,684206,310,5,8,6,3,3,2,1
male,46,English,USA,property,small,365830,311,6,7,9,7,6,2,1
male,28,english,USA,property,large,243636,312,9,9,5,7,8,2,7
male,30,English,USA,category,small,680748,313,8,8,8,8,6,6,5
female,23,"English, Vietnamese",USA,property,large,401379,314,9,10,9,7,10,7,9
female,29,english,USA,property,large,868154,315,7,9,7,3,2,2,1
male,23,english,USA,category,small,245773,316,6,7,7,8,7,8,5
male,33,English,USA,category,large,787867,317,10,10,4,5,4,3,1
male,31,English,USA,property,large,706381,318,3,4,5,5,6,7,7
female,58,English,USA,property,large,486009,319,9,9,5,2,2,2,2
female,33,english,USA,category,large,984973,320,9,10,8,10,7,5,5
male,29,English,USA,property,small,214522,321,2,5,8,7,8,9,7
male,40,English ,USA,category,large,605674,322,8,9,7,7,8,7,9
male,34,English (American),USA,category,large,360974,323,10,7,4,1,1,1,1
male,24,English,USA,category,small,510891,324,6,10,9,7,4,5,2
male,44,English,USA,property,small,248539,325,10,10,9,8,8,2,2
male,38,English,USA,property,large,534327,326,8,8,6,6,1,1,1
male,52,ENGLISH,USA,category,small,452943,327,4,9,7,7,7,8,8
male,34,English,USA,property,large,646454,328,6,7,6,9,5,7,4
male,38,ENGLISH,USA,category,small,524940,329,10,9,5,2,2,1,1
male,35,English,USA,property,small,422283,330,10,9,7,1,1,1,1
male,30,English,USA,property,small,254454,331,6,5,6,2,2,2,2
male,49,English ,USA,category,large,278553,332,10,10,10,9,8,8,8
male,52,US English,USA,category,large,194423,333,9,8,6,6,6,6,6
male,27,English,USA,category,small,896989,334,9,9,9,9,9,9,9
female,28,english,USA,category,large,266156,335,10,10,10,10,10,10,10
female,23,English,USA,property,large,105934,336,8,8,7,4,2,2,1
male,30,English,USA,category,small,591085,337,10,10,10,9,8,8,7
female,37,English,USA,property,small,829983,338,10,9,5,1,2,2,1
male,34,English,USA,property,small,768008,339,3,5,6,4,7,6,6
female,39,English,USA,property,small,445070,340,9,8,8,7,7,7,8
male,23,English,USA,category,small,474118,341,10,10,10,10,10,10,10
female,36,Egnlish,USA,property,large,984076,342,4,5,4,5,5,5,6
male,29,English,USA,category,large,249157,343,10,10,8,9,10,10,10
male,31,English,USA,category,small,104760,344,9,9,9,9,9,9,6
male,41,english,USA,property,small,568965,345,10,10,10,5,4,2,1
male,27,English,USA,category,small,268774,346,10,10,10,10,10,10,10
female,50,English,USA,category,small,979806,347,9,9,9,5,4,3,2
male,38,English,USA,category,large,758754,348,10,10,8,8,7,6,5
male,58,English Spanish,USA,category,small,989186,349,10,10,10,9,8,9,9
male,25,english,USA,category,large,739310,350,8,8,2,3,6,10,7
female,44,English,USA,property,large,131088,351,3,3,5,3,5,2,3
male,42,English,USA,property,large,210157,352,10,8,3,2,1,1,1
female,32,English,USA,category,large,258659,353,9,7,6,4,3,2,4
male,27,English,USA,property,small,610493,354,10,9,8,1,2,1,1
male,30,English,USA,property,small,523185,355,8,4,8,8,6,8,8
male,26,english,USA,property,small,203834,356,7,7,8,6,4,5,1
female,40,english/spanish,USA,category,large,643765,357,10,10,9,5,2,1,1
female,30,English,USA,property,large,403251,358,7,7,7,3,2,2,2
male,29,english,USA,property,large,668344,359,9,8,9,6,4,3,3
male,32,English,USA,category,small,511980,360,9,10,9,10,8,8,5
male,35,ENGLISH,USA,category,large,639146,361,10,10,9,7,5,5,1
male,32,English,USA,property,small,536008,362,3,8,7,6,6,4,3
male,51,English,USA,category,large,341243,363,9,8,7,7,6,5,4
male,27,English,USA,category,large,846449,364,9,8,7,7,6,6,7
female,47,english,USA,category,small,998166,365,9,9,9,9,1,8,8
male,19,english,USA,category,small,112106,366,9,9,4,3,2,2,2
male,41,English,USA,property,small,336657,367,10,10,5,1,2,5,5
male,62,English,USA,property,large,109565,368,9,9,7,2,2,2,2
female,32,english,USA,property,large,851456,369,9,6,7,6,5,5,6
male,22,English,USA,category,small,128347,370,10,10,10,7,7,7,6
male,30,English,USA,category,small,533697,371,10,10,10,7,6,6,6
male,28,English,USA,property,small,409011,372,10,10,10,10,10,10,10
male,39,English,USA,property,large,925088,373,1,2,7,9,7,7,8
female,47,English,USA,category,small,681704,374,10,10,10,10,10,10,10
female,30,English,USA,category,small,219378,375,7,10,10,10,10,8,8
female,26,ENGLISH,USA,property,small,313932,376,8,7,6,1,1,7,1
male,43,English,USA,category,large,173882,377,1,3,5,8,9,9,10
male,25,English,USA,property,small,270138,378,4,4,4,2,1,1,1
male,36,english,USA,property,small,204305,379,4,4,6,6,6,7,7
female,55,english,USA,property,large,604322,380,8,9,2,1,1,1,1
female,22,English,USA,category,large,857074,381,10,8,4,4,2,1,3
male,20,English,USA,category,small,764235,382,10,10,10,10,5,10,9
female,33,english,USA,category,large,289902,383,10,10,8,6,5,5,5
female,39,English,USA,property,small,384215,384,10,10,8,10,1,1,1
male,35,English,USA,category,small,176307,385,10,10,10,10,5,5,5
male,31,English,USA,category,small,557504,386,9,8,7,5,2,2,2
male,30,English,USA,property,small,957127,387,10,10,10,10,1,8,2
male,31,English,USA,category,large,980981,388,10,8,5,5,5,5,5
male,32,english,USA,category,small,736937,389,1,3,8,5,9,9,9
male,29,english,USA,category,large,323322,390,9,9,8,7,5,4,5
female,71,ENGLISH,USA,category,large,406839,391,8,8,8,8,8,8,8
male,39,English,USA,category,small,944595,392,4,3,5,7,7,7,3
female,34,English,USA,category,large,509135,393,10,10,10,9,10,8,8
